index,L1 norm,Treatment
0,8.025,PRIME-SINGLE
1,7.6659999999999995,PRIME-SINGLE
2,7.426,PRIME-SINGLE
3,8.324,PRIME-SINGLE
4,7.999999999999999,PRIME-SINGLE
5,8.48,PRIME-SINGLE
6,8.036999999999999,PRIME-SINGLE
7,4.082999999999998,PRIME-SINGLE
8,7.783999999999999,PRIME-SINGLE
9,5.424999999999997,PRIME-SINGLE
10,5.184999999999999,PRIME-SINGLE
11,8.083,PRIME-SINGLE
12,6.064999999999998,PRIME-SINGLE
13,6.274999999999999,PRIME-SINGLE
14,7.834000000000001,PRIME-SINGLE
15,5.877999999999998,PRIME-SINGLE
16,7.729000000000001,PRIME-SINGLE
17,5.370000000000001,PRIME-SINGLE
18,5.130000000000001,PRIME-SINGLE
19,8.028,PRIME-SINGLE
20,6.058,PRIME-SINGLE
21,6.268000000000001,PRIME-SINGLE
22,7.827,PRIME-SINGLE
23,5.8709999999999996,PRIME-SINGLE
24,8.802999999999997,PRIME-SINGLE
25,8.443999999999996,PRIME-SINGLE
26,8.213999999999999,PRIME-SINGLE
27,11.104,PRIME-SINGLE
28,10.775999999999996,PRIME-SINGLE
29,11.255999999999997,PRIME-SINGLE
30,12.812999999999999,PRIME-SINGLE
31,8.858999999999998,PRIME-SINGLE
0,6.656000000000001,SINGLE-NO
1,6.32,SINGLE-NO
2,7.064000000000001,SINGLE-NO
3,7.694999999999999,SINGLE-NO
4,7.08,SINGLE-NO
5,7.508000000000001,SINGLE-NO
6,6.335000000000001,SINGLE-NO
7,7.641000000000002,SINGLE-NO
8,7.1850000000000005,SINGLE-NO
9,6.319000000000001,SINGLE-NO
10,5.961,SINGLE-NO
11,6.705,SINGLE-NO
12,7.322,SINGLE-NO
13,6.721,SINGLE-NO
14,7.149000000000001,SINGLE-NO
15,5.976,SINGLE-NO
16,7.282,SINGLE-NO
17,6.826,SINGLE-NO
18,6.079000000000001,SINGLE-NO
19,5.721,SINGLE-NO
20,6.465000000000001,SINGLE-NO
21,7.164,SINGLE-NO
22,6.481,SINGLE-NO
23,6.909000000000001,SINGLE-NO
24,5.736000000000001,SINGLE-NO
25,7.042000000000002,SINGLE-NO
26,6.586,SINGLE-NO
27,6.977,SINGLE-NO
28,6.619,SINGLE-NO
29,7.3629999999999995,SINGLE-NO
30,7.979999999999999,SINGLE-NO
31,9.379,SINGLE-NO
32,9.807,SINGLE-NO
33,6.6339999999999995,SINGLE-NO
34,7.94,SINGLE-NO
35,7.483999999999999,SINGLE-NO
36,6.688999999999999,SINGLE-NO
37,6.1770000000000005,SINGLE-NO
38,6.780999999999999,SINGLE-NO
39,8.033999999999999,SINGLE-NO
40,7.350999999999999,SINGLE-NO
41,7.779,SINGLE-NO
42,7.043999999999999,SINGLE-NO
43,7.767999999999999,SINGLE-NO
44,7.283999999999999,SINGLE-NO
45,7.153,SINGLE-NO
46,6.501,SINGLE-NO
47,7.260999999999999,SINGLE-NO
48,8.218,SINGLE-NO
49,7.535,SINGLE-NO
50,7.963000000000001,SINGLE-NO
51,7.228,SINGLE-NO
52,8.12,SINGLE-NO
53,7.7219999999999995,SINGLE-NO
54,6.71,SINGLE-NO
55,6.058000000000001,SINGLE-NO
56,6.818,SINGLE-NO
57,7.775,SINGLE-NO
58,9.091999999999999,SINGLE-NO
59,9.52,SINGLE-NO
60,6.785,SINGLE-NO
61,7.677,SINGLE-NO
62,7.279,SINGLE-NO
63,3.8659999999999988,SINGLE-NO
64,3.354,SINGLE-NO
65,3.9099999999999993,SINGLE-NO
66,5.210999999999999,SINGLE-NO
67,6.527999999999999,SINGLE-NO
68,6.9559999999999995,SINGLE-NO
69,4.221,SINGLE-NO
70,4.944999999999999,SINGLE-NO
71,4.460999999999999,SINGLE-NO
0,3.441,NO-PRIME
1,5.2,NO-PRIME
2,5.145000000000001,NO-PRIME
3,8.082999999999997,NO-PRIME
4,2.9730000000000003,NO-PRIME
5,4.767999999999999,NO-PRIME
6,4.760999999999999,NO-PRIME
7,7.748999999999997,NO-PRIME
8,3.5749999999999993,NO-PRIME
9,5.34,NO-PRIME
10,5.333000000000001,NO-PRIME
11,8.320999999999994,NO-PRIME
12,4.555999999999999,NO-PRIME
13,6.350999999999999,NO-PRIME
14,6.343999999999999,NO-PRIME
15,9.331999999999997,NO-PRIME
16,5.872999999999999,NO-PRIME
17,5.667999999999999,NO-PRIME
18,5.661,NO-PRIME
19,8.648999999999997,NO-PRIME
20,6.301,NO-PRIME
21,6.096,NO-PRIME
22,6.089,NO-PRIME
23,9.076999999999998,NO-PRIME
24,3.566,NO-PRIME
25,5.324999999999999,NO-PRIME
26,5.27,NO-PRIME
27,7.501999999999998,NO-PRIME
28,4.290000000000001,NO-PRIME
29,6.061000000000001,NO-PRIME
30,6.054000000000002,NO-PRIME
31,9.041999999999998,NO-PRIME
32,3.806,NO-PRIME
33,5.5649999999999995,NO-PRIME
34,5.5120000000000005,NO-PRIME
35,8.471999999999998,NO-PRIME
0,2.505000000000001,PRIME BOOST
1,2.6060000000000008,PRIME BOOST
2,7.607999999999997,PRIME BOOST
3,0.2930000000000006,PRIME BOOST
4,7.362999999999998,PRIME BOOST
5,7.307999999999998,PRIME BOOST
0,2.873000000000003,SINGLE LAIV
1,2.7170000000000023,SINGLE LAIV
2,3.541000000000001,SINGLE LAIV
3,9.503,SINGLE LAIV
4,9.687000000000001,SINGLE LAIV
5,11.244,SINGLE LAIV
6,8.68,SINGLE LAIV
7,0.3020000000000014,SINGLE LAIV
8,2.840000000000002,SINGLE LAIV
9,7.413999999999998,SINGLE LAIV
10,7.327999999999999,SINGLE LAIV
11,8.886999999999999,SINGLE LAIV
12,8.321,SINGLE LAIV
13,2.9380000000000024,SINGLE LAIV
14,7.1739999999999995,SINGLE LAIV
15,7.088000000000001,SINGLE LAIV
16,8.646999999999998,SINGLE LAIV
17,8.081,SINGLE LAIV
18,10.072,SINGLE LAIV
19,9.986,SINGLE LAIV
20,9.544999999999998,SINGLE LAIV
21,8.979,SINGLE LAIV
22,1.4579999999999989,SINGLE LAIV
23,2.450999999999999,SINGLE LAIV
24,5.288999999999999,SINGLE LAIV
25,1.621,SINGLE LAIV
26,5.523000000000001,SINGLE LAIV
27,5.08,SINGLE LAIV
0,1.5000000000000004,NO VAC
1,1.946,NO VAC
2,3.459,NO VAC
3,4.776,NO VAC
4,5.204000000000001,NO VAC
5,2.3350000000000004,NO VAC
6,3.169,NO VAC
7,2.627,NO VAC
8,1.658,NO VAC
9,2.851,NO VAC
10,4.167999999999999,NO VAC
11,4.596,NO VAC
12,1.8610000000000002,NO VAC
13,2.613,NO VAC
14,2.2150000000000003,NO VAC
15,3.6569999999999996,NO VAC
16,4.973999999999999,NO VAC
17,5.402,NO VAC
18,2.637,NO VAC
19,3.3669999999999995,NO VAC
20,2.876999999999999,NO VAC
21,1.6029999999999993,NO VAC
22,2.0630000000000006,NO VAC
23,3.304,NO VAC
24,4.196,NO VAC
25,3.798,NO VAC
26,1.362,NO VAC
27,4.6209999999999996,NO VAC
28,5.513,NO VAC
29,5.114999999999999,NO VAC
30,5.049,NO VAC
31,5.941000000000001,NO VAC
32,5.543,NO VAC
33,2.9899999999999993,NO VAC
34,2.528,NO VAC
35,0.57,NO VAC
